tempo,vento,atleta,anno,categoria,società,posizione,luogo,data,link_atleta,link_società
7577,,VITI Marzio,1973,SM,C.S. CARABINIERI SEZ. ATLETICA,4 su- 1,Bydgoszcz,2005-07-03,https://www.fidal.it/atleta/VITI-Marzio/faiRkpOoaGw%3D,https://www.fidal.it/societa/C-S--CARABINIERI-SEZ--ATLETICA/BO011
7547,,FRULLANI William,1979,SM,C.S. CARABINIERI SEZ. ATLETICA,17 su- 1,Gotzis,2005-05-29,https://www.fidal.it/atleta/FRULLANI-William/faiRkpWhcGk%3D,https://www.fidal.it/societa/C-S--CARABINIERI-SEZ--ATLETICA/BO011
7387,,FRULLANI William,1979,SM,C.S. CARABINIERI SEZ. ATLETICA,15 su- 1,Bydgoszcz,2005-07-03,https://www.fidal.it/atleta/FRULLANI-William/faiRkpWhcGk%3D,https://www.fidal.it/societa/C-S--CARABINIERI-SEZ--ATLETICA/BO011
7344,,MOTTADELLI Paolo,1979,SM,ATL.  CENTO TORRI PAVIA,1 su- 1,Forli,2005-10-02,https://www.fidal.it/atleta/MOTTADELLI-Paolo/dqiRkpqhbGo%3D,https://www.fidal.it/societa/ATL--CENTO-TORRI-PAVIA/PV110
7308,,CEGLIE Luca,1979,SM,C.S. AERONAUTICA MILITARE,21 su- 1,Bydgoszcz,2005-07-03,https://www.fidal.it/atleta/CEGLIE-Luca/hKiRkpuha2o%3D,https://www.fidal.it/societa/C-S--AERONAUTICA-MILITARE/RM053
7277,,MOTTADELLI Paolo,1979,SM,ATL.  CENTO TORRI PAVIA,8 su- 1,Izmir,2005-08-19,https://www.fidal.it/atleta/MOTTADELLI-Paolo/dqiRkpqhbGo%3D,https://www.fidal.it/societa/ATL--CENTO-TORRI-PAVIA/PV110
7244,,CEGLIE Luca,1979,SM,C.S. AERONAUTICA MILITARE,2 su- 1,Forli,2005-10-02,https://www.fidal.it/atleta/CEGLIE-Luca/hKiRkpuha2o%3D,https://www.fidal.it/societa/C-S--AERONAUTICA-MILITARE/RM053
7177,,VITI Marzio,1973,SM,C.S. CARABINIERI SEZ. ATLETICA,11 su- 1,Salo,2005-05-08,https://www.fidal.it/atleta/VITI-Marzio/faiRkpOoaGw%3D,https://www.fidal.it/societa/C-S--CARABINIERI-SEZ--ATLETICA/BO011
7150,,KRANNER Matteo,1983,PM,C.S. AERONAUTICA MILITARE,1 su- 1,Formia,2005-06-19,https://www.fidal.it/atleta/KRANNER-Matteo/f6iRlJiiams%3D,https://www.fidal.it/societa/C-S--AERONAUTICA-MILITARE/RM053
7109,,VITI Marzio,1973,SM,C.S. CARABINIERI SEZ. ATLETICA,1 su- 1,Fano,2005-05-22,https://www.fidal.it/atleta/VITI-Marzio/faiRkpOoaGw%3D,https://www.fidal.it/societa/C-S--CARABINIERI-SEZ--ATLETICA/BO011
7097,,FRULLANI William,1979,SM,C.S. CARABINIERI SEZ. ATLETICA,1 su- 1,Forli,2005-05-01,https://www.fidal.it/atleta/FRULLANI-William/faiRkpWhcGk%3D,https://www.fidal.it/societa/C-S--CARABINIERI-SEZ--ATLETICA/BO011
6993,,CEGLIE Luca,1979,SM,C.S. AERONAUTICA MILITARE,2 su- 1,Fano,2005-05-22,https://www.fidal.it/atleta/CEGLIE-Luca/hKiRkpuha2o%3D,https://www.fidal.it/societa/C-S--AERONAUTICA-MILITARE/RM053
6970,,GASPARRO Cristian,1974,SM,G.S. FIAMME AZZURRE,3 su- 1,Forli,2005-10-02,https://www.fidal.it/atleta/GASPARRO-Cristian/gKiRkpKkams%3D,https://www.fidal.it/societa/G-S--FIAMME-AZZURRE/RM002
6848,,PUSCEDDU Matteo,1980,SM,G.A. FIAMME GIALLE,1 fi- 1,Rieti,2005-04-30,https://www.fidal.it/atleta/PUSCEDDU-Matteo/iKiRkpSjbGg%3D,https://www.fidal.it/societa/G-A--FIAMME-GIALLE/RM056
6777,,KRANNER Matteo,1983,PM,C.S. AERONAUTICA MILITARE,3 su- 1,Fano,2005-05-22,https://www.fidal.it/atleta/KRANNER-Matteo/f6iRlJiiams%3D,https://www.fidal.it/societa/C-S--AERONAUTICA-MILITARE/RM053
