tempo,vento,atleta,anno,categoria,società,posizione,luogo,data,link_atleta,link_società
18.3,,FIORINI Massimo,1958,SM50,ATLETICA LIVORNO,1 su- 1,Pistoia,2010-08-28,https://www.fidal.it/atleta/FIORINI-Massimo/faiRkpKgcWU%3D,https://www.fidal.it/societa/ATLETICA-LIVORNO/LI036
15.48,,BUCCIOLINI Gabriele,1997,CM,LIB.ATL. CASTELGANDOLFO-ALBANO,1 su- 1,Roma,2011-09-10,https://www.fidal.it/atleta/BUCCIOLINI-Gabriele/f6iRmZSob2U%3D,https://www.fidal.it/societa/LIB-ATL--CASTELGANDOLFO-ALBANO/RS010
15.73,,DI BLASIO Simone,1997,CM,FIAMME GIALLE G. SIMONI,2 su- 1,Roma,2011-09-10,https://www.fidal.it/atleta/DI-BLASIO-Simone/f6yRkpKkamM%3D,https://www.fidal.it/societa/FIAMME-GIALLE-G--SIMONI/RM057
16.99,+2.1,SPAGNOLI Giorgio,1961,SM50,EDERA ATL. FORLI,4 su- 1,Comacchio,2012-06-22,https://www.fidal.it/atleta/SPAGNOLI-Giorgio/eqiRlZanamU%3D,https://www.fidal.it/societa/EDERA-ATL--FORLI/FC038
17.12,-0.3,SPAGNOLI Giorgio,1961,SM50,EDERA ATL. FORLI,2 su- 1,Modena,2012-09-15,https://www.fidal.it/atleta/SPAGNOLI-Giorgio/eqiRlZanamU%3D,https://www.fidal.it/societa/EDERA-ATL--FORLI/FC038
18.14,+0.1,SPAGNOLI Giorgio,1961,SM50,EDERA ATL. FORLI,6 se- 4,Zittau,2012-08-17,https://www.fidal.it/atleta/SPAGNOLI-Giorgio/eqiRlZanamU%3D,https://www.fidal.it/societa/EDERA-ATL--FORLI/FC038
14.36,+0.9,OBERHOFER Thomas,1964,SM50,A.S.D. SUEDTIROL TEAM CLUB,1 su- 1,Modena,2014-07-04,https://www.fidal.it/atleta/OBERHOFER-Thomas/iaiRkpmia2M%3D,https://www.fidal.it/societa/A-S-D--SUEDTIROL-TEAM-CLUB/BZ073
14.76,,OBERHOFER Thomas,1964,SM50,A.S.D. SUEDTIROL TEAM CLUB,1 su- 1,Merano,2014-09-06,https://www.fidal.it/atleta/OBERHOFER-Thomas/iaiRkpmia2M%3D,https://www.fidal.it/societa/A-S-D--SUEDTIROL-TEAM-CLUB/BZ073
14.80,+0.9,D'ERRICO Antonio,1964,SM50,ASD ARCA ATL.AVERSA A.AVERSANO,2 su- 1,Modena,2014-07-04,https://www.fidal.it/atleta/D-ERRICO-Antonio/gKiRkpeobmk%3D,https://www.fidal.it/societa/ASD-ARCA-ATL-AVERSA-A-AVERSANO/CE033
14.92,+0.9,REBUZZI Pierluigi,1962,SM50,ATL. VIRTUS CASTENEDOLO,3 su- 1,Modena,2014-07-04,https://www.fidal.it/atleta/REBUZZI-Pierluigi/dqiRkpSjamw%3D,https://www.fidal.it/societa/ATL--VIRTUS-CASTENEDOLO/BS575
